fid,muni_id,muni,is_housing,only_single_family,%_single_family,is_MBTA_community,pop,male,female,pop_u18,pop_18_64,pop_65o,nhwhi,nhaa,nhna,nhas,nhpi,nhoth,nhmlt,lat,fhh,fhh2,fhh3,fhh4,fhh5,fhh6,fhh7o,nfhh,nfhh1,nfhh2,nfhh3,nfhh4,nfhh5,nfhh6,nfhh7o,hh,incu10,inc1015,inc1520,inc2025,inc2530,inc3035,inc3540,inc4045,inc4550,inc5060,inc6075,i7599,i100125,i125150,i150200,in200o,COI Score
126,184,Middleton,1,1,23.7871795618028,1,330,181,149,113,199,18,316,0,0,10,0,0,1,3,86,18,20,24,21,1,2,9,6,2,1,0,0,0,0,436.0,0.0,0.0,0.0,0.0,31.0,0.0,20.0,0.0,0.0,0.0,0.0,69.0,11.0,64.0,142.0,99.0,5.3315050720496675
127,189,Milton,1,1,98.1117177171913,1,27124,12896,14228,6794,16559,3771,20396,3824,30,1125,4,181,612,952,6866,2338,1666,1682,769,286,125,2250,1933,267,31,11,5,2,1,8917.0,171.0,115.0,247.0,326.0,153.0,109.0,109.0,249.0,64.0,514.0,524.0,706.0,986.0,767.0,1065.0,2812.0,6.478920606931528
128,199,Needham,1,1,85.0046565163045,1,25643,12482,13161,7518,14447,3678,22939,215,10,1511,8,46,384,530,7089,2572,1482,2001,797,193,44,1795,1573,186,14,14,2,3,3,9311.0,208.0,198.0,180.0,122.0,71.0,281.0,92.0,139.0,97.0,397.0,518.0,718.0,1048.0,579.0,1420.0,3243.0,9.167124443698007
129,269,Sherborn,1,1,99.8685208481675,1,4037,1972,2065,1220,2292,525,3768,16,1,133,0,10,53,56,1161,442,236,293,154,29,7,233,191,38,3,1,0,0,0,1556.0,32.0,0.0,31.0,19.0,32.0,8.0,0.0,49.0,10.0,61.0,42.0,69.0,162.0,136.0,195.0,710.0,7.636766884932503
130,213,North Reading,1,1,1.14132175659971,1,66,31,35,17,43,6,64,0,0,1,0,0,0,1,14,6,3,2,1,1,1,16,14,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,8.1363960895875
131,220,Norwood,1,1,57.1573679007298,1,11691,5584,6107,2452,6783,2456,10448,274,12,516,3,27,118,293,3280,1379,772,707,288,109,25,1161,990,143,20,7,1,0,0,5193.0,107.0,78.0,55.0,143.0,117.0,162.0,121.0,110.0,126.0,191.0,350.0,724.0,778.0,525.0,877.0,729.0,6.880907075977799
132,320,Wenham,1,1,100.0,1,4867,2202,2665,975,3248,644,4600,29,4,81,4,16,38,95,991,383,226,222,116,37,7,364,315,39,4,5,1,0,0,1397.0,35.0,31.0,30.0,64.0,43.0,30.0,40.0,7.0,32.0,37.0,117.0,169.0,97.0,79.0,230.0,356.0,8.451378293007949
133,298,Topsfield,1,1,98.9609131510746,1,6071,2928,3143,1629,3383,1059,5786,27,5,75,0,8,57,113,1673,647,355,386,219,51,15,423,357,57,3,4,2,0,0,1886.0,16.0,106.0,43.0,58.0,42.0,13.0,46.0,39.0,16.0,87.0,90.0,102.0,179.0,162.0,365.0,522.0,6.130094663349897
134,229,Peabody,1,1,89.0655598963908,1,35588,16859,18729,6969,20703,7916,32797,492,30,544,2,127,315,1281,9572,3940,2254,2136,860,249,133,4413,3812,510,47,28,12,1,3,17630.0,806.0,843.0,679.0,407.0,676.0,653.0,330.0,671.0,641.0,1483.0,1626.0,2302.0,1905.0,1415.0,1632.0,1561.0,3.8758351767533417
135,246,Reading,1,1,97.8664559078424,1,23923,11606,12317,6098,14436,3389,22148,171,10,985,3,24,218,364,6509,2429,1470,1675,719,167,49,2371,1979,358,26,5,3,0,0,8531.0,140.0,162.0,244.0,288.0,108.0,122.0,309.0,208.0,209.0,261.0,567.0,992.0,741.0,838.0,1365.0,1977.0,7.341482665862494
136,248,Revere,1,1,2.81379785413883,1,1663,797,866,285,1097,281,1393,38,8,48,0,6,21,149,431,192,106,80,35,11,7,268,205,55,4,2,0,1,1,360.0,0.0,0.0,25.0,0.0,7.0,0.0,8.0,0.0,0.0,16.0,26.0,76.0,53.0,45.0,40.0,64.0,3.138561266999782
137,244,Randolph,1,1,97.781328489833,1,29479,14244,15235,6380,19113,3986,11826,10436,57,3876,1,591,805,1887,7408,2500,1851,1538,847,364,308,2948,2348,482,52,32,24,2,8,11945.0,580.0,681.0,370.0,399.0,289.0,407.0,444.0,507.0,409.0,739.0,1370.0,1598.0,1436.0,1247.0,756.0,713.0,2.969080622040003
138,251,Rockland,1,1,54.1779845738064,1,6542,3055,3487,1556,3887,1099,6017,156,5,67,1,60,108,128,1681,624,386,384,183,75,29,793,677,107,4,3,2,0,0,2663.0,99.0,47.0,165.0,55.0,108.0,89.0,35.0,95.0,89.0,206.0,205.0,366.0,308.0,304.0,363.0,129.0,4.802629815152099
139,252,Rockport,1,1,73.2090725946021,1,2394,1121,1273,433,1395,566,2281,15,1,16,2,6,29,44,672,337,149,129,43,10,4,334,290,40,3,1,0,0,0,1735.0,67.0,53.0,78.0,19.0,39.0,55.0,75.0,60.0,75.0,118.0,156.0,289.0,146.0,171.0,186.0,148.0,5.677920535359306
